model,dataset,metric,fp16,nf4,delta,ci95_low,ci95_high
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,individual_accuracy,0.506,0.48799999999999993,-0.01800000000000007,-0.050000000000000044,0.014000000000000012
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,panel_accuracy,0.5166666666666667,0.5366666666666666,0.019999999999999907,-0.020000000000000018,0.05999999999999994
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,beta_all_agents_wrong,0.41,0.37333333333333335,-0.036666666666666625,-0.08000000000000002,0.003333333333333355
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,kappa_same_wrong_given_valid_all_wrong,0.8823529411764706,0.9571428571428572,0.07478991596638662,0.00485611782527197,0.14717041766642047
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,kappa_same_wrong_given_all_wrong,0.8536585365853658,0.5982142857142857,-0.25544425087108014,-0.3555222060174905,-0.1554619938884645
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,same_wrong_all_rate,0.35,0.22333333333333333,-0.12666666666666665,-0.17666666666666667,-0.07666666666666669
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,agreement_brier,0.4276,0.35159999999999997,-0.0759999999999999,-0.1124,-0.039999999999999925
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,invalid_answer_rate,0.020666666666666667,0.10800000000000001,0.08733333333333333,0.066,0.10933333333333334
Qwen/Qwen2.5-3B-Instruct,gsm8k,individual_accuracy,0.21066666666666664,0.10800000000000001,-0.10266666666666667,-0.13333333333333336,-0.07333333333333333
Qwen/Qwen2.5-3B-Instruct,gsm8k,panel_accuracy,0.24333333333333335,0.11,-0.13333333333333336,-0.1766666666666667,-0.09
Qwen/Qwen2.5-3B-Instruct,gsm8k,beta_all_agents_wrong,0.6533333333333333,0.7466666666666667,0.09333333333333338,0.043333333333333335,0.1433333333333333
Qwen/Qwen2.5-3B-Instruct,gsm8k,kappa_same_wrong_given_valid_all_wrong,0.052083333333333336,0.026785714285714284,-0.02529761904761905,-0.06254505158739604,0.009946475488008168
Qwen/Qwen2.5-3B-Instruct,gsm8k,kappa_same_wrong_given_all_wrong,0.05102040816326531,0.026785714285714284,-0.024234693877551023,-0.06073665905206593,0.010456966644802584
Qwen/Qwen2.5-3B-Instruct,gsm8k,same_wrong_all_rate,0.03333333333333333,0.02,-0.013333333333333332,-0.039999999999999994,0.010000000000000002
Qwen/Qwen2.5-3B-Instruct,gsm8k,agreement_brier,0.24906666666666666,0.25253333333333333,0.003466666666666729,-0.026533333333333298,0.032800000000000024
Qwen/Qwen2.5-3B-Instruct,gsm8k,invalid_answer_rate,0.005333333333333334,0.005333333333333334,0.0,-0.004666666666666668,0.004666666666666668
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,individual_accuracy,0.4506666666666666,0.43,-0.02066666666666661,-0.06,0.018000000000000016
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,panel_accuracy,0.45,0.43,-0.020000000000000018,-0.06333333333333335,0.023333333333333317
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,beta_all_agents_wrong,0.5166666666666667,0.5533333333333333,0.036666666666666625,-0.006666666666666599,0.08000000000000002
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,kappa_same_wrong_given_valid_all_wrong,0.9144736842105263,0.8795180722891566,-0.034955611921369756,-0.10434247657948473,0.03540420846440916
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,kappa_same_wrong_given_all_wrong,0.896774193548387,0.8795180722891566,-0.017256121259230484,-0.09063287576433833,0.0559119417792557
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,same_wrong_all_rate,0.4633333333333333,0.4866666666666667,0.023333333333333373,-0.030000000000000027,0.07666666666666672
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,agreement_brier,0.5114666666666666,0.5321333333333332,0.02066666666666661,-0.021466666666666745,0.06400333333333329
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,invalid_answer_rate,0.006666666666666667,0.0,-0.006666666666666667,-0.014666666666666668,-0.0006666666666666668
microsoft/Phi-3.5-mini-instruct,gsm8k,individual_accuracy,0.16866666666666666,0.18533333333333332,0.01666666666666669,-0.006000000000000005,0.04000000000000001
microsoft/Phi-3.5-mini-instruct,gsm8k,panel_accuracy,0.16333333333333333,0.2,0.03666666666666668,0.0,0.07333333333333333
microsoft/Phi-3.5-mini-instruct,gsm8k,beta_all_agents_wrong,0.6866666666666666,0.68,-0.006666666666666599,-0.046666666666666634,0.033333333333333326
microsoft/Phi-3.5-mini-instruct,gsm8k,kappa_same_wrong_given_valid_all_wrong,0.07,0.04040404040404041,-0.0295959595959596,-0.07077613242861952,0.008764649368530823
microsoft/Phi-3.5-mini-instruct,gsm8k,kappa_same_wrong_given_all_wrong,0.06796116504854369,0.0392156862745098,-0.028745478774033884,-0.06848795395881703,0.008395235311894332
microsoft/Phi-3.5-mini-instruct,gsm8k,same_wrong_all_rate,0.04666666666666667,0.02666666666666667,-0.02,-0.046666666666666676,0.0066666666666666645
microsoft/Phi-3.5-mini-instruct,gsm8k,agreement_brier,0.2942666666666667,0.2852,-0.009066666666666667,-0.03919999999999996,0.021600000000000008
microsoft/Phi-3.5-mini-instruct,gsm8k,invalid_answer_rate,0.014,0.02,0.006,-0.0046666666666666645,0.017333333333333333
